Freq1,Freq2,Freq3,Freq4,Freq5,Freq6,Freq7,Freq8,Freq9,Chord
130,196,329,392,525,659,665,788,931,1
130,195,265,392,524,587,753,787,865,1
130,262,265,392,525,660,665,784,962,1
130,262,265,392,525,660,665,830,916,1
130,263,265,392,525,589,666,784,925,1
130,262,266,392,525,588,665,789,881,1
146,220,294,370,465,590,734,849,882,3
146,220,293,441,465,590,745,765,883,3
146,220,293,441,469,590,744,765,883,3
146,220,295,439,549,591,745,767,877,3
147,221,294,441,466,591,745,766,885,3
146,220,293,441,465,590,745,765,883,3
98,247,294,392,494,586,741,789,865,8
123,196,294,393,494,586,741,791,867,8
123,246,292,393,494,586,741,791,879,8
123,246,292,393,494,585,742,790,880,8
98,246,295,392,495,588,743,789,869,8
98,248,295,392,497,587,745,790,884,8
