Freq1,Freq2,Freq3,Freq4,Freq5,Freq6,Freq7,Freq8,Freq9,Chord
131,131,131,164,165,166,196,197,229,1
130,131,164,164,166,196,196,197,232,1
130,131,132,146,188,195,196,196,216,1
130,131,131,132,165,166,196,196,240,1
130,131,131,147,164,166,196,197,216,1
130,131,131,132,165,166,196,207,229,1
130,131,131,132,147,166,196,196,231,1
130,131,131,133,147,166,196,197,216,1
130,131,131,133,147,166,196,197,220,1
132,138,140,140,157,176,207,209,210,2
127,138,138,138,142,175,208,209,216,2
131,138,138,140,141,175,207,209,210,2
126,138,139,139,141,175,208,209,216,2
131,138,139,140,157,175,208,209,209,2
138,138,138,157,173,208,209,209,216,2
127,138,139,139,141,175,208,209,218,2
128,131,138,139,139,141,175,207,209,2
138,138,139,155,176,207,207,209,233,2
129,146,146,147,186,191,220,220,221,3
129,146,147,147,183,185,212,220,220,3
128,146,146,147,186,191,220,220,220,3
129,146,146,147,186,191,220,220,220,3
128,146,147,147,186,191,220,220,220,3
129,137,146,147,147,186,191,219,219,3
129,147,147,147,186,191,220,221,221,3
129,146,146,147,186,191,220,220,220,3
137,147,147,147,186,192,220,220,221,3
155,157,157,177,197,198,233,235,235,4
155,156,156,188,197,197,233,235,246,4
132,138,139,140,157,176,208,209,210,4
129,155,155,157,188,198,199,233,235,4
155,157,157,177,198,198,234,235,236,4
155,157,157,177,198,198,234,235,236,4
129,155,155,156,190,198,198,234,235,4
126,155,156,157,186,198,198,235,236,4
155,155,155,174,198,198,232,233,235,4
164,165,185,208,208,208,216,246,247,5
164,164,165,185,208,208,208,226,247,5
143,164,185,208,208,226,246,247,247,5
164,164,165,186,208,208,226,246,246,5
165,165,186,207,208,216,246,247,248,5
165,165,186,208,208,240,246,247,248,5
163,164,165,186,193,208,240,248,248,5
156,164,165,186,208,208,226,246,248,5
165,165,186,206,208,216,246,246,248,5
131,131,132,152,175,176,197,220,221,6
131,131,132,152,174,175,176,197,221,6
131,131,132,132,132,152,176,196,221,6
132,132,152,174,174,175,176,198,218,6
130,131,132,132,132,165,176,198,221,6
130,131,132,132,152,176,176,198,221,6
131,132,132,132,165,174,176,198,218,6
131,132,132,165,174,175,176,198,218,6
130,131,132,132,132,165,176,198,221,6
138,139,161,185,186,209,234,234,234,7
139,139,161,184,185,186,209,234,234,7
127,138,140,161,173,185,208,208,232,7
132,140,140,161,184,185,185,186,210,7
138,139,161,185,186,187,209,234,234,7
138,139,140,161,185,186,187,210,234,7
132,140,141,184,187,210,231,233,234,7
127,139,161,175,184,210,231,234,234,7
138,139,161,186,187,210,231,234,234,7
147,147,185,196,196,197,219,246,246,8
146,147,185,196,196,197,216,244,247,8
146,147,185,196,196,197,216,244,246,8
128,146,146,185,196,197,219,246,246,8
146,147,185,196,196,197,216,244,246,8
146,146,185,196,197,220,244,246,246,8
147,147,185,196,196,197,217,245,246,8
146,147,186,196,196,197,221,245,248,8
128,146,146,186,196,197,220,220,248,8
129,131,131,155,156,156,167,208,209,9
131,131,131,155,156,181,206,208,209,9
129,131,155,155,156,181,207,207,209,9
131,155,156,156,181,207,208,209,233,9
131,155,156,156,181,207,208,209,233,9
130,155,156,156,181,207,207,208,233,9
131,131,131,156,156,170,207,208,208,9
129,131,156,156,181,206,207,207,208,9
130,155,156,156,181,207,207,208,232,9
164,165,166,208,218,220,221,222,247,10
139,139,164,166,192,218,219,220,220,10
138,165,166,208,218,219,220,220,247,10
137,165,165,166,208,218,219,220,220,10
138,139,165,166,208,220,220,220,220,10
137,165,165,166,206,218,220,220,220,10
137,139,165,166,209,218,220,220,221,10
137,139,165,166,192,218,220,220,220,10
137,139,165,166,209,220,220,220,220,10
132,148,148,176,212,222,230,232,234,11
132,145,175,176,204,222,231,232,233,11
132,145,148,176,204,222,223,232,233,11
132,149,175,175,204,223,231,232,234,11
132,148,148,176,204,221,231,232,234,11
132,148,176,176,204,228,232,234,235,11
132,148,148,176,191,222,229,232,234,11
132,148,148,176,204,222,229,232,233,11
132,148,148,177,204,218,222,232,233,11
156,157,185,186,212,235,246,248,249,12
156,156,185,186,194,235,246,248,248,12
157,158,186,187,192,236,246,248,249,12
157,157,185,186,195,236,246,247,248,12
157,157,186,186,193,236,246,248,249,12
157,157,186,187,196,236,246,247,248,12
157,157,186,187,191,236,246,248,248,12
157,157,185,187,193,236,246,248,249,12
157,157,185,187,208,236,244,247,247,12
