Freq1,Freq2,Freq3,Freq4,Freq5,Freq6,Freq7,Freq8,Freq9,Chord
131,262,329,392,525,660,665,788,918,1
130,196,329,392,525,659,665,788,931,1
130,195,265,392,524,587,753,787,865,1
130,262,265,392,525,660,665,784,962,1
130,262,329,392,525,588,665,788,867,1
130,262,265,392,525,660,665,830,916,1
130,263,265,392,525,589,666,784,925,1
130,262,266,392,526,588,665,788,865,1
130,262,266,392,525,588,665,789,881,1
138,209,281,415,561,629,706,842,942,2
138,255,277,416,554,569,703,837,866,2
138,209,276,414,560,565,703,840,865,2
138,253,279,416,558,565,703,837,867,2
138,209,280,416,559,630,703,839,868,2
138,209,277,417,554,629,692,838,865,2
138,254,278,417,559,565,703,836,874,2
138,256,279,415,558,565,703,836,869,2
138,207,277,415,559,621,704,837,935,2
146,220,293,441,466,590,744,765,884,3
146,220,294,370,465,590,734,849,882,3
146,220,293,441,465,590,745,765,883,3
146,220,293,441,469,590,744,765,883,3
146,220,294,441,465,591,744,766,883,3
146,220,295,439,549,591,745,767,877,3
147,221,294,441,466,591,745,766,885,3
146,220,293,441,465,590,745,765,883,3
147,220,294,441,549,590,745,768,886,3
155,235,314,395,467,629,708,792,940,4
155,246,313,394,467,627,752,790,940,4
138,210,280,416,559,631,705,838,865,4
155,258,314,397,467,621,755,796,940,4
155,236,314,396,468,628,710,794,942,4
155,236,314,396,469,628,709,795,943,4
155,258,313,396,469,620,763,794,943,4
155,253,313,397,470,628,747,795,945,4
155,232,310,397,466,620,698,795,942,4
123,208,329,417,495,660,742,832,865,5
82,208,329,416,495,660,742,833,904,5
123,247,329,416,495,575,742,834,906,5
82,246,329,416,493,660,747,833,904,5
123,247,330,417,497,662,746,831,865,5
123,247,330,416,497,662,745,833,963,5
163,248,329,416,496,663,746,772,962,5
82,246,330,417,497,626,746,834,907,5
123,246,331,417,497,663,746,824,865,5
131,221,350,442,526,611,704,790,882,6
87,263,351,442,526,611,704,789,885,6
131,262,265,442,530,611,704,786,886,6
87,174,351,436,530,611,705,795,874,6
130,262,265,442,528,663,706,792,885,6
130,262,352,442,529,611,707,793,885,6
87,263,265,441,529,663,707,793,875,6
87,262,351,442,528,663,706,792,874,6
130,263,265,442,528,663,706,792,963,6
138,234,278,371,469,646,746,836,938,7
92,234,279,371,558,647,745,836,937,7
138,185,280,416,469,647,693,832,928,7
92,185,280,371,561,647,746,842,938,7
138,185,279,372,468,647,748,839,938,7
138,185,278,372,560,647,749,840,937,7
92,233,280,462,469,567,749,840,938,7
92,234,279,462,468,647,703,840,937,7
138,234,278,373,468,647,749,840,926,7
123,196,294,393,493,590,741,789,877,8
98,247,294,392,494,586,741,789,865,8
123,196,294,393,494,586,741,791,867,8
123,246,292,393,494,586,741,791,879,8
98,246,294,393,494,586,741,790,866,8
123,246,292,393,494,585,742,790,880,8
98,246,295,392,495,588,743,789,869,8
98,248,295,392,497,587,745,790,884,8
98,248,293,440,497,586,745,790,882,8
155,262,312,416,524,625,670,837,937,9
103,262,311,417,524,625,725,838,937,9
155,207,311,414,518,625,726,837,933,9
155,207,312,417,466,625,726,837,938,9
155,207,312,417,466,625,725,838,932,9
155,207,312,414,466,625,727,833,938,9
104,263,312,414,524,626,681,834,938,9
103,207,312,414,518,626,726,833,938,9
155,207,312,415,465,625,726,835,937,9
109,220,330,443,495,659,665,833,888,10
109,220,278,439,556,659,665,768,881,10
109,219,277,440,494,660,665,833,881,10
109,220,330,439,549,661,665,834,881,10
110,220,277,441,556,660,666,834,883,10
109,220,330,440,549,660,665,827,882,10
109,220,279,442,549,660,666,839,883,10
109,220,279,441,550,660,666,769,882,10
110,220,279,441,550,660,665,838,883,10
116,234,296,460,470,593,705,850,889,11
116,233,351,463,466,583,705,816,888,11
116,233,297,445,469,583,705,816,893,11
116,234,351,462,469,596,700,817,893,11
116,234,296,463,470,594,706,816,884,11
116,234,352,457,470,595,707,817,940,11
116,235,296,459,469,594,707,767,891,11
116,233,296,458,469,594,707,817,891,11
116,233,296,436,469,594,708,816,891,11
123,248,313,371,498,628,746,850,941,12
123,248,313,371,497,627,746,777,940,12
123,248,315,374,498,632,746,769,947,12
123,248,315,371,494,631,747,780,947,12
123,248,314,372,499,630,747,773,945,12
123,248,314,372,497,630,748,786,945,12
123,248,314,372,497,630,749,765,945,12
123,248,314,370,498,630,748,773,945,12
122,247,314,370,497,630,750,832,945,12
