Freq1,Freq2,Freq3,Freq4,Freq5,Chord
131,164,196,229,247,1
130,165,196,207,229,1
130,147,166,196,220,1
132,138,157,176,209,2
131,138,157,175,209,2
138,155,176,207,233,2
129,146,186,191,220,3
129,137,146,186,191,3
137,147,186,192,220,3
155,177,197,235,242,4
155,177,198,236,241,4
155,174,198,232,241,4
164,185,208,216,246,5
163,186,193,208,240,5
156,164,186,208,226,5
131,152,175,197,221,6
131,165,174,198,220,6
130,165,176,198,221,6
138,161,185,209,234,7
132,140,161,184,210,7
127,139,161,175,184,7
147,185,196,219,246,8
146,185,196,220,246,8
128,146,186,196,220,8
131,155,167,208,234,9
131,155,181,207,233,9
130,155,181,207,232,9
139,164,192,218,247,10
137,165,206,218,247,10
139,165,209,220,247,10
132,148,176,212,222,11
132,148,176,204,228,11
132,148,177,204,218,11
156,185,194,235,246,12
157,186,196,236,246,12
157,185,208,236,244,12

