Freq1,Freq2,Freq3,Freq4,Freq5,Freq6,Freq7,Freq8,Freq9,Chord
130,196,329,392,525,659,665,788,931,1
130,262,265,392,525,660,665,830,916,1
130,262,266,392,525,588,665,789,881,1
138,209,281,415,561,629,706,842,942,2
138,209,277,417,554,629,692,838,865,2
138,207,277,415,559,621,704,837,935,2
146,220,293,441,466,590,744,765,884,3
146,220,295,439,549,591,745,767,877,3
147,220,294,441,549,590,745,768,886,3
155,235,314,395,467,629,708,792,940,4
155,236,314,396,469,628,709,795,943,4
155,232,310,397,466,620,698,795,942,4
123,208,329,417,495,660,742,832,865,5
123,247,330,417,497,662,746,831,865,5
123,246,331,417,497,663,746,824,865,5
131,221,350,442,526,611,704,790,882,6
130,262,265,442,528,663,706,792,885,6
130,263,265,442,528,663,706,792,963,6
138,234,278,371,469,646,746,836,938,7
92,234,279,462,468,647,703,840,937,7
138,234,278,373,468,647,749,840,926,7
123,196,294,393,493,590,741,789,877,8
98,246,295,392,495,588,743,789,869,8
98,248,293,440,497,586,745,790,882,8
155,262,312,416,524,625,670,837,937,9
104,263,312,414,524,626,681,834,938,9
155,207,312,415,465,625,726,835,937,9
109,220,330,443,495,659,665,833,888,10
109,220,330,440,549,660,665,827,882,10
110,220,279,441,550,660,665,838,883,10
116,234,296,460,470,593,705,850,889,11
116,234,352,457,470,595,707,817,940,11
116,233,296,436,469,594,708,816,891,11
123,248,313,371,498,628,746,850,941,12
123,248,314,372,497,630,748,786,945,12
122,247,314,370,497,630,750,832,945,12
