Freq1,Freq2,Freq3,Freq4,Freq5,Chord
130,164,196,232,247,1
130,146,188,195,216,1
130,165,196,240,247,1
130,147,164,196,216,1
130,147,166,196,231,1
130,147,166,196,216,1
127,138,142,175,208,2
131,138,175,209,216,2
126,138,175,208,216,2
138,157,173,209,216,2
127,138,175,208,218,2
128,138,175,207,217,2
129,146,185,212,220,3
128,146,186,191,220,3
129,146,186,191,220,3
128,146,186,191,220,3
129,147,186,191,221,3
129,146,186,191,220,3
155,188,197,233,246,4
132,138,157,176,210,4
129,155,188,198,233,4
155,177,198,236,241,4
129,155,190,198,234,4
126,155,186,198,235,4
164,185,208,226,247,5
143,164,185,208,226,5
164,186,208,226,246,5
165,186,208,216,246,5
165,186,208,240,246,5
165,186,208,216,246,5
131,152,174,197,221,6
131,152,176,196,221,6
132,152,174,198,218,6
130,165,176,198,221,6
130,152,176,198,221,6
131,165,174,198,221,6
139,161,184,209,234,7
127,138,161,173,185,7
138,161,185,209,234,7
138,161,185,210,234,7
132,140,184,210,233,7
138,161,186,210,234,7
147,185,196,216,247,8
147,185,196,216,246,8
128,146,185,196,219,8
147,185,196,216,246,8
147,185,196,217,246,8
147,186,196,221,248,8
131,155,181,206,234,9
129,155,181,207,233,9
131,155,181,207,233,9
130,155,181,207,233,9
131,156,170,208,234,9
129,156,181,206,234,9
165,208,218,222,247,10
138,165,208,218,247,10
137,165,208,218,248,10
138,165,208,220,247,10
139,165,209,218,247,10
139,165,192,218,247,10
132,145,175,204,222,11
132,148,176,204,222,11
132,149,175,204,223,11
132,148,176,204,221,11
132,148,176,191,222,11
132,148,176,204,222,11
156,185,212,235,246,12
157,187,192,236,246,12
157,185,195,236,246,12
157,186,193,236,246,12
157,186,191,236,246,12
157,185,193,236,246,12
