NITERACOES,20
iter,0
Sol,Sol#
3.0,0.0
0.0,3.0
Corretude,100.0
iter,1
Sol,Sol#
3.0,0.0
0.0,3.0
Corretude,100.0
iter,2
Sol,Sol#
3.0,0.0
0.0,3.0
Corretude,100.0
iter,3
Sol,Sol#
3.0,0.0
0.0,3.0
Corretude,100.0
iter,4
Sol,Sol#
3.0,0.0
0.0,3.0
Corretude,83.33333333333334
iter,5
Sol,Sol#
3.0,0.0
0.0,3.0
Corretude,100.0
iter,6
Sol,Sol#
3.0,0.0
0.0,3.0
Corretude,100.0
iter,7
Sol,Sol#
3.0,0.0
0.0,3.0
Corretude,100.0
iter,8
Sol,Sol#
3.0,0.0
0.0,3.0
Corretude,100.0
iter,9
Sol,Sol#
3.0,0.0
0.0,3.0
Corretude,100.0
iter,10
Sol,Sol#
3.0,0.0
0.0,3.0
Corretude,100.0
iter,11
Sol,Sol#
3.0,0.0
0.0,3.0
Corretude,100.0
iter,12
Sol,Sol#
3.0,0.0
0.0,3.0
Corretude,100.0
iter,13
Sol,Sol#
3.0,0.0
0.0,3.0
Corretude,100.0
iter,14
Sol,Sol#
3.0,0.0
0.0,3.0
Corretude,100.0
iter,15
Sol,Sol#
3.0,0.0
0.0,3.0
Corretude,100.0
iter,16
Sol,Sol#
3.0,0.0
0.0,3.0
Corretude,100.0
iter,17
Sol,Sol#
3.0,0.0
0.0,3.0
Corretude,100.0
iter,18
Sol,Sol#
3.0,0.0
0.0,3.0
Corretude,100.0
iter,19
Sol,Sol#
3.0,0.0
0.0,3.0
Corretude,100.0
