NITERACOES,20
iter,0
C,C#,D
0,2,0
1,2,0
0,3,0
Corretude,25.0
iter,1
C,C#,D
0,0,2
3,0,0
3,0,0
Corretude,0.0
iter,2
C,C#,D
2,0,0
3,0,0
0,0,3
Corretude,62.5
iter,3
C,C#,D
0,2,0
0,0,3
0,0,3
Corretude,37.5
iter,4
C,C#,D
0,2,0
0,0,3
0,3,0
Corretude,0.0
iter,5
C,C#,D
0,2,0
0,3,0
0,3,0
Corretude,37.5
iter,6
C,C#,D
0,2,0
0,0,3
0,3,0
Corretude,0.0
iter,7
C,C#,D
2,0,0
2,1,0
0,0,3
Corretude,75.0
iter,8
C,C#,D
0,0,2
0,0,3
0,0,3
Corretude,37.5
iter,9
C,C#,D
2,0,0
0,3,0
0,0,3
Corretude,100.0
iter,10
C,C#,D
2,0,0
2,1,0
0,0,3
Corretude,75.0
iter,11
C,C#,D
2,0,0
2,1,0
0,0,3
Corretude,75.0
iter,12
C,C#,D
2,0,0
2,1,0
0,0,3
Corretude,75.0
iter,13
C,C#,D
2,0,0
2,1,0
0,0,3
Corretude,75.0
iter,14
C,C#,D
0,2,0
0,3,0
0,0,3
Corretude,75.0
iter,15
C,C#,D
2,0,0
2,1,0
0,0,3
Corretude,75.0
iter,16
C,C#,D
2,0,0
2,1,0
0,0,3
Corretude,75.0
iter,17
C,C#,D
2,0,0
2,1,0
0,0,3
Corretude,75.0
iter,18
C,C#,D
0,0,2
0,0,3
0,0,3
Corretude,37.5
iter,19
C,C#,D
2,0,0
2,1,0
0,0,3
Corretude,75.0
MATRIZ DE CONFUSAO ACUMULADA
2,0
22,12,6
25,20,15
3,12,45
