NITERACOES,20
iter,0
C,D,G
2,0,0
0,3,0
0,0,3
Corretude,100.0
iter,1
C,D,G
2,0,0
0,3,0
0,0,3
Corretude,100.0
iter,2
C,D,G
0,2,0
3,0,0
3,0,0
Corretude,0.0
iter,3
C,D,G
2,0,0
0,3,0
0,0,3
Corretude,100.0
iter,4
C,D,G
0,2,0
0,3,0
0,3,0
Corretude,37.5
iter,5
C,D,G
2,0,0
2,0,1
0,0,3
Corretude,62.5
iter,6
C,D,G
2,0,0
0,3,0
0,0,3
Corretude,100.0
iter,7
C,D,G
2,0,0
0,3,0
0,0,3
Corretude,100.0
iter,8
C,D,G
2,0,0
0,3,0
0,0,3
Corretude,100.0
iter,9
C,D,G
2,0,0
0,0,3
0,0,3
Corretude,62.5
iter,10
C,D,G
2,0,0
1,2,0
0,0,3
Corretude,87.5
iter,11
C,D,G
2,0,0
0,3,0
0,0,3
Corretude,100.0
iter,12
C,D,G
0,2,0
0,2,1
0,3,0
Corretude,25.0
iter,13
C,D,G
2,0,0
0,3,0
0,0,3
Corretude,100.0
iter,14
C,D,G
2,0,0
0,3,0
0,0,3
Corretude,100.0
iter,15
C,D,G
2,0,0
0,3,0
0,0,3
Corretude,100.0
iter,16
C,D,G
2,0,0
0,3,0
0,1,2
Corretude,87.5
iter,17
C,D,G
2,0,0
0,3,0
0,0,3
Corretude,100.0
iter,18
C,D,G
2,0,0
0,3,0
0,0,3
Corretude,100.0
iter,19
C,D,G
0,2,0
0,2,1
0,0,3
Corretude,62.5
MATRIZ DE CONFUSAO ACUMULADA
2,0
32,8,0
6,48,6
3,7,50
