NITERACOES,20
iter,0
G,C
3,0
0,2
Corretude,100.0
iter,1
G,C
0,3
0,2
Corretude,40.0
iter,2
G,C
3,0
0,2
Corretude,100.0
iter,3
G,C
3,0
2,0
Corretude,60.0
iter,4
G,C
0,3
0,2
Corretude,40.0
iter,5
G,C
3,0
0,2
Corretude,100.0
iter,6
G,C
3,0
2,0
Corretude,60.0
iter,7
G,C
3,0
0,2
Corretude,100.0
iter,8
G,C
3,0
2,0
Corretude,60.0
iter,9
G,C
3,0
0,2
Corretude,100.0
iter,10
G,C
3,0
0,2
Corretude,100.0
iter,11
G,C
2,1
0,2
Corretude,80.0
iter,12
G,C
3,0
0,2
Corretude,100.0
iter,13
G,C
3,0
0,2
Corretude,100.0
iter,14
G,C
3,0
1,1
Corretude,80.0
iter,15
G,C
3,0
0,2
Corretude,100.0
iter,16
G,C
3,0
2,0
Corretude,60.0
iter,17
G,C
3,0
0,2
Corretude,100.0
iter,18
G,C
3,0
0,2
Corretude,100.0
iter,19
G,C
0,3
2,0
Corretude,0.0
MATRIZ DE CONFUSAO ACUMULADA
2,0
50,10
11,29
