NITERACOES,20
iter,0
C,C#,D,D#,E,F,F#,G,G#,A,A#,B
2,0,0,0,0,0,0,1,0,0,0,0
0,0,0,2,0,0,1,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,1,0
0,0,0,2,1,0,0,0,0,0,0,0
0,0,0,0,3,0,0,0,0,0,0,0
0,0,0,0,0,3,0,0,0,0,0,0
0,0,0,0,0,0,2,0,0,0,1,0
0,0,1,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,3,0,0,0
0,0,0,0,0,0,0,0,0,3,0,0
0,1,0,0,0,0,0,0,1,0,1,0
0,0,0,1,0,0,0,0,0,0,0,2
Corretude,66.66666666666666
iter,1
C,C#,D,D#,E,F,F#,G,G#,A,A#,B
2,0,0,1,0,0,0,0,0,0,0,0
0,0,0,2,0,0,1,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,1,0
0,0,0,2,1,0,0,0,0,0,0,0
0,0,0,0,3,0,0,0,0,0,0,0
0,0,0,0,0,3,0,0,0,0,0,0
0,0,0,0,0,0,2,0,0,0,1,0
0,0,1,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,3,0,0,0
0,0,0,0,0,0,0,0,0,3,0,0
0,1,0,0,0,0,0,0,1,0,1,0
0,0,0,1,0,0,0,0,0,0,0,2
Corretude,66.66666666666666
iter,2
C,C#,D,D#,E,F,F#,G,G#,A,A#,B
2,0,0,0,0,0,0,1,0,0,0,0
0,0,0,2,0,0,1,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,1,0
0,0,0,2,1,0,0,0,0,0,0,0
0,0,0,0,3,0,0,0,0,0,0,0
0,0,0,0,0,3,0,0,0,0,0,0
0,0,0,0,0,0,2,0,0,0,1,0
0,0,1,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,3,0,0,0
0,0,0,0,0,0,0,0,0,3,0,0
0,1,0,0,0,0,0,0,1,0,1,0
0,0,0,1,0,0,0,0,0,0,0,2
Corretude,66.66666666666666
iter,3
C,C#,D,D#,E,F,F#,G,G#,A,A#,B
2,0,0,0,0,0,0,1,0,0,0,0
0,0,0,2,0,0,1,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,1,0
0,0,0,2,1,0,0,0,0,0,0,0
0,0,0,0,3,0,0,0,0,0,0,0
0,0,0,0,0,3,0,0,0,0,0,0
0,0,0,0,0,0,2,0,0,0,1,0
0,0,1,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,3,0,0,0
0,0,0,0,0,0,0,0,0,3,0,0
0,1,0,0,0,0,0,0,0,0,2,0
0,0,0,1,0,0,0,0,0,0,0,2
Corretude,69.44444444444444
iter,4
C,C#,D,D#,E,F,F#,G,G#,A,A#,B
2,0,0,1,0,0,0,0,0,0,0,0
0,0,0,2,0,0,1,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,1,0
0,0,0,2,1,0,0,0,0,0,0,0
0,0,0,0,3,0,0,0,0,0,0,0
0,0,0,0,0,3,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,0,1,0
0,0,1,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,3,0,0,0
0,0,0,0,0,0,0,0,0,3,0,0
0,1,0,0,0,0,0,0,1,0,1,0
0,0,0,1,0,0,0,0,0,0,0,2
Corretude,63.888888888888886
iter,5
C,C#,D,D#,E,F,F#,G,G#,A,A#,B
2,0,0,1,0,0,0,0,0,0,0,0
0,0,0,2,0,0,1,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,1,0
0,0,0,2,1,0,0,0,0,0,0,0
0,0,0,0,3,0,0,0,0,0,0,0
0,0,0,0,0,3,0,0,0,0,0,0
0,0,0,0,0,0,2,0,0,0,1,0
0,0,1,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,3,0,0,0
0,0,0,0,0,0,0,0,0,3,0,0
0,1,0,0,0,0,0,0,1,0,1,0
0,0,0,2,0,0,0,0,0,0,0,1
Corretude,63.888888888888886
iter,6
C,C#,D,D#,E,F,F#,G,G#,A,A#,B
2,0,0,0,0,0,0,1,0,0,0,0
0,0,0,1,0,0,1,0,0,0,1,0
0,1,1,0,0,0,0,0,0,0,1,0
0,0,0,2,1,0,0,0,0,0,0,0
0,0,0,0,3,0,0,0,0,0,0,0
0,0,0,0,0,3,0,0,0,0,0,0
0,0,0,0,0,0,2,0,0,0,1,0
0,0,1,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,3,0,0,0
0,0,0,0,0,0,0,0,0,3,0,0
0,1,0,0,0,0,0,0,1,0,1,0
0,0,0,2,0,0,0,0,0,0,0,1
Corretude,63.888888888888886
iter,7
C,C#,D,D#,E,F,F#,G,G#,A,A#,B
2,0,0,1,0,0,0,0,0,0,0,0
0,0,0,2,0,0,1,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,1,0
0,0,0,2,1,0,0,0,0,0,0,0
0,0,0,0,3,0,0,0,0,0,0,0
0,0,0,0,0,3,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,0,1,0
0,0,1,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,3,0,0,0
0,0,0,0,0,0,0,0,0,3,0,0
0,1,0,0,0,0,0,0,1,0,1,0
0,0,0,1,0,0,0,0,0,0,0,2
Corretude,63.888888888888886
iter,8
C,C#,D,D#,E,F,F#,G,G#,A,A#,B
2,0,0,0,0,0,0,1,0,0,0,0
0,0,0,2,0,0,1,0,0,0,0,0
0,1,2,0,0,0,0,0,0,0,0,0
0,0,0,2,1,0,0,0,0,0,0,0
0,0,0,0,3,0,0,0,0,0,0,0
0,0,0,0,0,3,0,0,0,0,0,0
0,0,0,0,0,0,2,0,0,0,1,0
0,0,1,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,3,0,0,0
0,0,0,0,0,0,0,0,0,3,0,0
