NITERACOES,20
iter,0
C,C#,D,D#,E,F,F#,G,G#,A,A#,B
1,0,0,0,0,0,1,0,0,1,0,0
0,0,0,2,0,0,1,0,0,0,0,0
0,1,2,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,2
0,0,0,0,3,0,0,0,0,0,0,0
0,0,0,0,0,2,0,1,0,0,0,0
0,0,0,0,1,1,0,0,0,0,1,0
0,0,1,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,3,0,0,0
0,0,0,0,0,0,0,0,1,2,0,0
0,1,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,3
Corretude,55.55555555555556
iter,1
C,C#,D,D#,E,F,F#,G,G#,A,A#,B
1,0,0,0,0,0,0,0,0,1,1,0
0,0,0,1,0,0,1,0,0,0,1,0
0,1,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,2
0,0,0,0,3,0,0,0,0,0,0,0
0,0,0,1,0,0,0,2,0,0,0,0
0,0,0,1,1,0,0,0,0,0,1,0
0,0,1,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,3,0,0,0
0,0,0,0,0,0,0,0,1,2,0,0
0,1,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,3
Corretude,50.0
iter,2
C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,0,0,0,0,0,0,0,1,1,1,0
0,0,0,1,0,0,1,0,0,0,1,0
0,1,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,2
0,0,0,0,3,0,0,0,0,0,0,0
0,0,0,0,0,3,0,0,0,0,0,0
0,0,0,0,1,1,1,0,0,0,0,0
0,0,1,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,3,0,0,0
0,0,0,0,0,0,0,0,1,2,0,0
1,1,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,3
Corretude,55.55555555555556
iter,3
C,C#,D,D#,E,F,F#,G,G#,A,A#,B
2,0,0,0,0,0,0,0,0,1,0,0
1,0,0,2,0,0,0,0,0,0,0,0
0,1,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,2
0,0,0,0,3,0,0,0,0,0,0,0
0,0,0,0,0,1,0,2,0,0,0,0
0,0,0,0,1,1,0,0,0,0,1,0
0,0,1,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,3,0,0,0
0,0,0,0,0,0,0,0,1,2,0,0
0,1,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,3
Corretude,55.55555555555556
iter,4
C,C#,D,D#,E,F,F#,G,G#,A,A#,B
1,0,0,0,0,0,0,1,1,0,0,0
0,0,0,0,0,0,2,0,0,0,1,0
0,1,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,2
0,0,0,0,3,0,0,0,0,0,0,0
0,0,0,1,0,1,0,1,0,0,0,0
