iter,0
C,C#,D,D#,E,F,F#,G,G#,A,A#,B
3,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,2,0,0,0,0,0
0,0,2,0,0,1,0,0,0,0,0,0
0,0,0,3,0,0,0,0,0,0,0,0
0,0,0,0,3,0,0,0,0,0,0,0
0,0,0,0,0,3,0,0,0,0,0,0
0,0,0,0,0,0,3,0,0,0,0,0
0,0,0,0,0,0,0,3,0,0,0,0
0,0,0,0,0,0,0,0,3,0,0,0
0,0,0,0,0,0,0,0,0,3,0,0
0,0,0,0,0,0,0,0,0,0,3,0
0,0,0,0,1,0,0,0,0,0,0,2
,precision,recall,f1-score,support
1,1.0,1.0,1.0,3.0
2,1.0,0.3333333333333333,0.5,3.0
3,1.0,0.6666666666666666,0.8,3.0
4,1.0,1.0,1.0,3.0
5,0.75,1.0,0.8571428571428571,3.0
6,0.75,1.0,0.8571428571428571,3.0
7,0.6,1.0,0.7499999999999999,3.0
8,1.0,1.0,1.0,3.0
9,1.0,1.0,1.0,3.0
10,1.0,1.0,1.0,3.0
11,1.0,1.0,1.0,3.0
12,1.0,0.6666666666666666,0.8,3.0
accuracy,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
macro avg,0.9249999999999999,0.8888888888888888,0.880357142857143,36.0
weighted avg,0.9249999999999999,0.8888888888888888,0.8803571428571428,36.0


iter,2
C,C#,D,D#,E,F,F#,G,G#,A,A#,B
3,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,1,0,0,0
2,0,1,0,0,0,0,0,0,0,0,0
0,0,0,3,0,0,0,0,0,0,0,0
0,0,0,0,3,0,0,0,0,0,0,0
0,0,0,0,0,3,0,0,0,0,0,0
0,0,0,0,0,0,3,0,0,0,0,0
0,0,0,0,0,0,0,3,0,0,0,0
0,0,0,0,0,0,0,0,3,0,0,0
0,0,0,0,0,0,0,0,0,3,0,0
0,0,0,0,0,0,0,0,0,0,3,0
0,0,0,0,1,0,0,0,0,0,0,2
,precision,recall,f1-score,support
1,0.6,1.0,0.7499999999999999,3.0
2,1.0,0.6666666666666666,0.8,3.0
3,1.0,0.3333333333333333,0.5,3.0
4,1.0,1.0,1.0,3.0
5,0.75,1.0,0.8571428571428571,3.0
6,1.0,1.0,1.0,3.0
7,1.0,1.0,1.0,3.0
8,1.0,1.0,1.0,3.0
9,0.75,1.0,0.8571428571428571,3.0
10,1.0,1.0,1.0,3.0
11,1.0,1.0,1.0,3.0
12,1.0,0.6666666666666666,0.8,3.0
accuracy,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
macro avg,0.9249999999999999,0.8888888888888888,0.8803571428571427,36.0
weighted avg,0.9249999999999999,0.8888888888888888,0.8803571428571428,36.0


iter,16
C,C#,D,D#,E,F,F#,G,G#,A,A#,B
3,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,2,0,0,0,0,0
0,0,3,0,0,0,0,0,0,0,0,0
0,0,0,3,0,0,0,0,0,0,0,0
0,0,0,0,3,0,0,0,0,0,0,0
0,0,0,0,0,3,0,0,0,0,0,0
0,0,0,0,0,0,3,0,0,0,0,0
0,0,0,0,0,0,0,3,0,0,0,0
0,0,0,0,0,0,0,0,3,0,0,0
0,0,0,0,0,0,0,0,0,3,0,0
0,0,0,0,0,0,0,0,0,0,3,0
0,0,0,0,2,0,0,0,0,0,0,1
Relatorio classificador
,precision,recall,f1-score,support
1,1.0,1.0,1.0,3.0
2,1.0,0.3333333333333333,0.5,3.0
3,1.0,1.0,1.0,3.0
4,1.0,1.0,1.0,3.0
5,0.6,1.0,0.7499999999999999,3.0
6,1.0,1.0,1.0,3.0
7,0.6,1.0,0.7499999999999999,3.0
8,1.0,1.0,1.0,3.0
9,1.0,1.0,1.0,3.0
10,1.0,1.0,1.0,3.0
11,1.0,1.0,1.0,3.0
12,1.0,0.3333333333333333,0.5,3.0
accuracy,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
macro avg,0.9333333333333332,0.8888888888888888,0.875,36.0
weighted avg,0.9333333333333333,0.8888888888888888,0.875,36.0
