NITERACOES,20
iter,0
C,D,G
3,0,0
1,1,1
0,1,2
Corretude,66.66666666666666
iter,1
C,D,G
3,0,0
1,2,0
0,1,2
Corretude,77.77777777777779
iter,2
C,D,G
2,1,0
2,1,0
0,1,2
Corretude,55.55555555555556
iter,3
C,D,G
2,1,0
1,2,0
0,1,2
Corretude,66.66666666666666
iter,4
C,D,G
2,0,1
1,2,0
0,1,2
Corretude,66.66666666666666
iter,5
C,D,G
2,1,0
1,2,0
0,1,2
Corretude,66.66666666666666
iter,6
C,D,G
2,0,1
2,1,0
0,0,3
Corretude,66.66666666666666
iter,7
C,D,G
2,1,0
0,3,0
0,1,2
Corretude,77.77777777777779
iter,8
C,D,G
2,1,0
1,2,0
0,1,2
Corretude,66.66666666666666
iter,9
C,D,G
3,0,0
1,2,0
0,1,2
Corretude,77.77777777777779
iter,10
C,D,G
2,0,1
1,1,1
0,1,2
Corretude,55.55555555555556
iter,11
C,D,G
1,2,0
0,3,0
0,1,2
Corretude,66.66666666666666
iter,12
C,D,G
2,0,1
1,2,0
0,1,2
Corretude,66.66666666666666
iter,13
C,D,G
3,0,0
2,1,0
0,1,2
Corretude,66.66666666666666
iter,14
C,D,G
3,0,0
1,2,0
0,1,2
Corretude,77.77777777777779
iter,15
C,D,G
2,0,1
1,2,0
0,1,2
Corretude,66.66666666666666
iter,16
C,D,G
1,0,2
1,2,0
0,1,2
Corretude,55.55555555555556
iter,17
C,D,G
2,0,1
1,2,0
0,1,2
Corretude,66.66666666666666
iter,18
C,D,G
1,2,0
1,1,1
0,1,2
Corretude,44.44444444444444
iter,19
C,D,G
1,2,0
2,1,0
0,1,2
Corretude,44.44444444444444
MATRIZ DE CONFUSAO ACUMULADA
2,0
41,11,8
22,35,3
0,19,41
NITERACOES,20
iter,0
C,D,G
3,0,0
2,1,0
0,1,2
Corretude,66.66666666666666
iter,1
C,D,G
3,0,0
2,1,0
0,1,2
Corretude,66.66666666666666
iter,2
C,D,G
2,0,1
2,1,0
0,1,2
Corretude,55.55555555555556
iter,3
C,D,G
3,0,0
1,2,0
0,1,2
Corretude,77.77777777777779
iter,4
C,D,G
2,0,1
1,2,0
0,1,2
Corretude,66.66666666666666
iter,5
C,D,G
2,1,0
1,1,1
0,1,2
Corretude,55.55555555555556
iter,6
C,D,G
2,0,1
1,2,0
0,1,2
Corretude,66.66666666666666
iter,7
C,D,G
2,0,1
2,1,0
